uuid,link,title,price,sku,details,image,image_url,breeder,length_inches,tags
7e1814,https://www.grandkoi.com/product/beni-kikokuryu-6981/,Beni Kikokuryu,"$4,499.00",6981,"['Breeder: Miyatora', 'Inches: 28']",grandkoi_data/7e1814_Beni Kikokuryu.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/02/Beni-Kikurouyu-28-300x450.jpeg,Miyatora,28.0,"['Beni', 'Kikokuryu']"
d5510c,https://www.grandkoi.com/product/benigoi-6980/,Benigoi,"$9,999.00",6980,"['Breeder: Marusei', 'Inches: 30']",grandkoi_data/d5510c_Benigoi.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/02/benegoi-T2-30-inches-300x450.jpeg,Marusei,30.0,['Benigoi']
34aff8,https://www.grandkoi.com/product/shiro-utsuri-6979/,Shiro Utsuri,"$3,999.00",6979,"['Breeder: Omosako', 'Inches: 25.6']",grandkoi_data/34aff8_Shiro Utsuri.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/02/Shiri-T2-300x450.jpeg,Omosako,25.0,"['Shiro', 'Utsuri']"
e68f3c,https://www.grandkoi.com/product/showa-6978/,Showa,"$6,999.00Original price was: $6,999.00.$6,500.00Current price is: $6,500.00.",A6978,"['Breeder: Marusei', 'Inches: 29']",grandkoi_data/e68f3c_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2022/10/T2-3-29-inches-300x450.jpeg,Marusei,29.0,['Showa']
63cc44,https://www.grandkoi.com/product/showa-6977/,Showa,"$6,999.00Original price was: $6,999.00.$5,999.00Current price is: $5,999.00.",A6977,"['Breeder: Marusei', 'Inches: 28']",grandkoi_data/63cc44_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2022/10/T2-3-28-inches.-300x450.jpeg,Marusei,28.0,['Showa']
d1957a,https://www.grandkoi.com/product/sanke-6976/,Sanke,"$4,999.00Original price was: $4,999.00.$3,999.00Current price is: $3,999.00.",A6976,"['Breeder: Marusei', 'Inches: 26']",grandkoi_data/d1957a_Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2022/10/T2-8-26-inches.-300x450.jpeg,Marusei,26.0,['Sanke']
83a08f,https://www.grandkoi.com/product/maruten-showa-6975/,Maruten Showa,"$6,999.00Original price was: $6,999.00.$5,999.00Current price is: $5,999.00.",A6975,"['Breeder: Marusei', 'Inches: 28']",grandkoi_data/83a08f_Maruten Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2022/10/T2-10-28-inches.-300x450.jpeg,Marusei,28.0,"['Maruten', 'Showa']"
e8edc3,https://www.grandkoi.com/product/sanke-6973/,Sanke,"$4,999.00Original price was: $4,999.00.$4,499.00Current price is: $4,499.00.",A6973,"['Breeder: Marusei', 'Inches: 30']",grandkoi_data/e8edc3_Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2022/10/T2-14-30-sanke-inches.-300x450.jpeg,Marusei,30.0,['Sanke']
396463,https://www.grandkoi.com/product/sanke-6971/,Sanke,"$2,499.00Original price was: $2,499.00.$1,999.00Current price is: $1,999.00.",A6971,"['Breeder: Marusei', 'Inches: 23']",grandkoi_data/396463_Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2022/10/T2-20-23-inches-sanke-inches.-300x450.jpeg,Marusei,23.0,['Sanke']
f14f87,https://www.grandkoi.com/product/sanke-6970/,Sanke,"$5,999.00",A6970,"['Breeder: Marusei', 'Inches: 27.5']",grandkoi_data/f14f87_Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2022/10/T2-1-300x450.jpeg,Marusei,27.0,['Sanke']
ca4428,https://www.grandkoi.com/product/gin-rin-shiro-utsuri-a6966/,Gin Rin Shiro Utsuri,"$8,999.00",A6966,"['Breeder: Omosako', 'Inches: 28']",grandkoi_data/ca4428_Gin Rin Shiro Utsuri.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/1-QT1-Gin-Rin-Shiro-Utsuri-2021-Redone-28-inches-300x450.jpg,Omosako,28.0,"['Gin', 'Rin', 'Shiro', 'Utsuri']"
4d019c,https://www.grandkoi.com/product/doitsu-sanke-a6965/,Doitsu Sanke,"$7,999.00Original price was: $7,999.00.$6,999.00Current price is: $6,999.00.",A6965,"['Breeder: Koda', 'Inches: 29']",grandkoi_data/4d019c_Doitsu Sanke.jpg,https://www.grandkoi.com/wp-content/uploads/2022/06/3-QT1-SKU_-29inches-Retaken-300x450.jpg,Koda,29.0,"['Doitsu', 'Sanke']"
