,link,title,category,out_of_stock,price,sku,image,image_url
a9238d,https://sacramentokoi.com/aragoke-soragoi-20-240489284/,Aragoke Soragoi 20″ – 240489284,Aragoke,False,"$1,100.00",240489284,sacramentokoi_data/a9238d_Aragoke_Soragoi_20″_–_240489284.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240489284-2.jpg
b32666,https://sacramentokoi.com/aragoke-tancho-kikusui-21-240335279/,Aragoke Tancho Kikusui 21″ – 240335279,Aragoke,False,$950.00,240335279,sacramentokoi_data/b32666_Aragoke_Tancho_Kikusui_21″_–_240335279.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240335279-2.jpg
fbaeae,https://sacramentokoi.com/aragoke-yellow-kujaku-18-240290278/,Aragoke Yellow Kujaku 18″ – 240290278,Aragoke,True,"$1,100.00",240290278,sacramentokoi_data/fbaeae_Aragoke_Yellow_Kujaku_18″_–_240290278.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240290278-2.jpg
0b65cd,https://sacramentokoi.com/asagi-12-240054188/,Asagi 12″ – 240054188,Asagi,True,$250.00,240054188,sacramentokoi_data/0b65cd_Asagi_12″_–_240054188.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054188-1-247x437.jpg
08d767,https://sacramentokoi.com/asagi-12-240054198/,Asagi 12″ – 240054198,Asagi,True,$175.00,240054198,sacramentokoi_data/08d767_Asagi_12″_–_240054198.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054198-1-247x437.jpg
1991f9,https://sacramentokoi.com/asagi-12-240054205/,Asagi 12″ – 240054205,Asagi,True,$150.00,240054205,sacramentokoi_data/1991f9_Asagi_12″_–_240054205.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054205-1-247x437.jpg
2394d2,https://sacramentokoi.com/asagi-12-240054206/,Asagi 12″ – 240054206,Asagi,True,$150.00,240054206,sacramentokoi_data/2394d2_Asagi_12″_–_240054206.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054206-1-247x437.jpg
d83d0e,https://sacramentokoi.com/asagi-12-240054209/,Asagi 12″ – 240054209,Asagi,True,$150.00,240054209,sacramentokoi_data/d83d0e_Asagi_12″_–_240054209.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054209-1-247x437.jpg
3d14f0,https://sacramentokoi.com/asagi-12-240054216/,Asagi 12″ – 240054216,Asagi,True,$175.00,240054216,sacramentokoi_data/3d14f0_Asagi_12″_–_240054216.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054216-1-247x437.jpg
96fc49,https://sacramentokoi.com/asagi-13-240054187/,Asagi 13″ – 240054187,Asagi,True,$225.00,240054187,sacramentokoi_data/96fc49_Asagi_13″_–_240054187.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054187-1-247x437.jpg
e36adc,https://sacramentokoi.com/asagi-13-240054200/,Asagi 13″ – 240054200,Asagi,True,$225.00,240054200,sacramentokoi_data/e36adc_Asagi_13″_–_240054200.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054200-1-247x438.jpg
